feature,missing_rate,n_unique,std,univariate_score,status,reason,retained_as,correlation_anchor,correlation_abs
away_goalie_starts_last14,0.0,2,0.05041110557301753,0.05257672412844741,dropped,exact_duplicate,away_goalie_starts_last7,,
away_post_trade_deadline,0.0,2,0.24420750971567914,0.021014916009506654,dropped,exact_duplicate,home_post_trade_deadline,,
away_season_phase_early,0.0,2,0.4904111163142454,0.029950207713431858,dropped,exact_duplicate,home_season_phase_early,,
away_season_phase_mid,0.0,2,0.4904111163142454,0.029950207713431858,dropped,exact_duplicate,home_season_phase_mid,,
away_starter_known,0.0,2,0.12761762839610896,0.06480034474158376,dropped,exact_duplicate,home_starter_known,,
away_starter_unknown,0.0,2,0.12761762839610896,0.06480034474158378,dropped,exact_duplicate,home_starter_unknown,,
goalie_uncertainty_diff,0.0,2,0.05041110557301753,0.05257672412844741,dropped,exact_duplicate,away_goalie_starts_last7,,
goalie_workload_diff_14,0.0,2,0.05041110557301753,0.05257672412844741,dropped,exact_duplicate,goalie_workload_diff_7,,
special_penalty_diff,0.0,3,0.02523772325625344,0.0,dropped,exact_duplicate,diff_penalty_diff,,
away_ewm_shots_against,0.0,753,4.033507478028118,0.0027129171544886875,dropped,near_duplicate_correlation_cluster,away_xg_against_ewm,away_xg_against_ewm,1.0
away_ewm_shots_for,0.0,747,3.969804940577585,0.008019971580212353,dropped,near_duplicate_correlation_cluster,away_xg_for_ewm,away_xg_for_ewm,0.9999999999999997
away_goalie_uncertainty_feature,0.0,2,0.05041110557301753,0.05257672412844741,dropped,near_duplicate_correlation_cluster,away_goalie_starts_last7,away_goalie_starts_last7,1.0
diff_penalty_diff,0.0,3,0.02523772325625344,0.0,dropped,near_duplicate_correlation_cluster,away_penalty_diff_ewm,away_penalty_diff_ewm,1.0
goalie_workload_diff_7,0.0,2,0.05041110557301753,0.05257672412844741,dropped,near_duplicate_correlation_cluster,away_goalie_starts_last7,away_goalie_starts_last7,1.0
home_ewm_shots_for,0.0,747,3.9536152418554713,0.025594541450273043,dropped,near_duplicate_correlation_cluster,home_xg_for_ewm,home_xg_for_ewm,0.9999999999999999
home_penalty_diff,0.0,6,0.2198845676536093,0.001373781884425915,dropped,near_duplicate_correlation_cluster,away_penalty_diff,away_penalty_diff,1.0
home_season_phase_mid,0.0,2,0.4904111163142454,0.029950207713431858,dropped,near_duplicate_correlation_cluster,home_season_phase_early,home_season_phase_early,0.9999999999999999
home_starter_known,0.0,2,0.12761762839610896,0.06480034474158376,dropped,near_duplicate_correlation_cluster,home_starter_unknown,home_starter_unknown,1.0
home_xg_against_ewm,0.0,749,0.4190709400846291,0.006936889825598334,dropped,near_duplicate_correlation_cluster,home_ewm_shots_against,home_ewm_shots_against,1.0
away_3in4,0.0,2,0.10645901867911427,0.016231503894591468,kept,,away_3in4,,
away_4in6,0.0,2,0.07955411462927896,0.012861081597373173,kept,,away_4in6,,
away_b2b_x,0.0,2,0.377358299199965,0.07996342632483941,kept,,away_b2b_x,,
away_b2b_y,0.0,2,0.31233320430005046,0.051446204558254875,kept,,away_b2b_y,,
away_ewm_goal_diff,0.0,755,1.0100365910943383,0.006645652736037659,kept,,away_ewm_goal_diff,,
away_ewm_goals_against,0.0,752,0.6705533017733599,0.006021189816328652,kept,,away_ewm_goals_against,,
away_ewm_goals_for,0.0,748,0.659520946504869,0.003944979435313353,kept,,away_ewm_goals_for,,
away_ewm_team_save_pct_proxy,0.0,753,0.010166340295550308,0.01627844091830095,kept,,away_ewm_team_save_pct_proxy,,
away_games_played_prior,0.0,52,14.173563726826307,0.0027160775678313973,kept,,away_games_played_prior,,
away_goalie_quality_ewm,0.0,753,0.011700193861396129,0.017934969768578706,kept,,away_goalie_quality_ewm,,
away_goalie_starts_last7,0.0,2,0.05041110557301753,0.05257672412844741,kept,,away_goalie_starts_last7,,
away_local_start_mismatch,0.0,2,0.425992289611622,0.07665963179934357,kept,,away_local_start_mismatch,,
away_penalty_diff,0.0,6,0.2198845676536093,0.001373781884425915,kept,,away_penalty_diff,,
away_penalty_diff_ewm,0.0,3,0.02523772325625344,0.0,kept,,away_penalty_diff_ewm,,
away_pp_eff,0.0,5,0.03692500248394545,0.011916301911335669,kept,,away_pp_eff,,
away_pp_eff_ewm,0.0,18,0.008750924810481694,0.04863538283598873,kept,,away_pp_eff_ewm,,
away_r14_goal_diff,0.0,133,0.854605302637265,0.0039053967525655444,kept,,away_r14_goal_diff,,
away_r14_goals_against,0.0,106,0.5781296463234763,0.018848748037095825,kept,,away_r14_goals_against,,
away_r14_goals_for,0.0,105,0.55700222842851,0.01383199455745073,kept,,away_r14_goals_for,,
away_r14_shots_against,0.0,108,3.4780201569429243,0.01684201959826735,kept,,away_r14_shots_against,,
away_r14_shots_for,0.0,106,3.347468994211717,0.011407088645230866,kept,,away_r14_shots_for,,
away_r14_team_save_pct_proxy,0.0,691,0.008617771045347836,0.0283668089498622,kept,,away_r14_team_save_pct_proxy,,
away_r5_goal_diff,0.0,53,1.1944036112122238,0.0017216734900394703,kept,,away_r5_goal_diff,,
away_r5_goals_against,0.0,39,0.7997449636526734,0.012027087744640232,kept,,away_r5_goals_against,,
away_r5_goals_for,0.0,37,0.781665435953665,0.009674509668100004,kept,,away_r5_goals_for,,
away_r5_shots_against,0.0,41,4.808859904328213,0.014865917506121689,kept,,away_r5_shots_against,,
away_r5_shots_for,0.0,39,4.701019810758778,0.012887052515311102,kept,,away_r5_shots_for,,
away_r5_team_save_pct_proxy,0.0,350,0.011812588176521767,0.011137632421707342,kept,,away_r5_team_save_pct_proxy,,
away_rest_days_x,0.0,118,1.117561627538653,0.03867443549276829,kept,,away_rest_days_x,,
away_rest_days_y,0.0,226,3.490363877521866,0.009854242112049648,kept,,away_rest_days_y,,
away_roster_strength_index,0.0,32,0.1453462908448707,0.06559358385026691,kept,,away_roster_strength_index,,
away_starter_goalie_id,0.0,14,337.2533325354999,0.013459007444570285,kept,,away_starter_goalie_id,,
away_win_rate_ewm,0.0,692,0.20272841859175017,0.004574421279895249,kept,,away_win_rate_ewm,,
away_xg_against_ewm,0.0,753,0.40335074780281177,0.0027129171544887152,kept,,away_xg_against_ewm,,
away_xg_for_ewm,0.0,747,0.3969804940577585,0.00801997158021237,kept,,away_xg_for_ewm,,
away_xg_share_ewm,0.0,765,0.03565725476271658,0.007530909298696339,kept,,away_xg_share_ewm,,
diff_form_goal_diff,0.0,765,1.458546069569089,0.01580708171879289,kept,,diff_form_goal_diff,,
diff_form_goal_diff_hinge_m1,0.0,592,1.171965363892552,0.016897103088377406,kept,,diff_form_goal_diff_hinge_m1,,
diff_form_goal_diff_hinge_p1,0.0,171,0.6268959531564,0.031284945560912936,kept,,diff_form_goal_diff_hinge_p1,,
diff_form_win_rate,0.0,735,0.28144304978466816,0.030245840289489956,kept,,diff_form_win_rate,,
diff_roster_strength,0.0,638,0.20380165104131556,0.12892440870226526,kept,,diff_roster_strength,,
diff_xg_share,0.0,771,0.05204710544800599,0.00857301770046685,kept,,diff_xg_share,,
diff_xg_share_cubic,0.0,771,0.0021703157800001174,0.037075718919845284,kept,,diff_xg_share_cubic,,
dyn_away_mean,0.0,759,0.5757353685643325,0.011675447895157747,kept,,dyn_away_mean,,
dyn_home_mean,0.0,757,0.5526996872014937,0.05780648240534901,kept,,dyn_home_mean,,
dyn_home_mean_hinge_000,0.0,377,0.33629797749720297,0.07839450506822762,kept,,dyn_home_mean_hinge_000,,
dyn_home_prob,0.0,765,0.17648141359275812,0.043589002589357675,kept,,dyn_home_prob,,
dyn_home_prob_hinge_055,0.0,355,0.08929447600803352,0.07213346136719488,kept,,dyn_home_prob_hinge_055,,
dyn_var_diff,0.0,760,0.170318045988726,0.00834240752225837,kept,,dyn_var_diff,,
elo_away_pre,0.0,763,52.27239214126262,0.015449631053187663,kept,,elo_away_pre,,
elo_home_pre,0.0,765,49.551088954550366,0.025123149383253537,kept,,elo_home_pre,,
elo_home_prob,0.0,768,0.04459462705063823,0.027562057536050344,kept,,elo_home_prob,,
elo_home_prob_hinge_054,0.0,244,0.020593521148219454,0.04484651301077761,kept,,elo_home_prob_hinge_054,,
goalie_quality_diff,0.0,770,0.015623522414673486,0.007381479113444605,kept,,goalie_quality_diff,,
home_b2b_x,0.0,2,0.3025310085869533,0.030169354021049546,kept,,home_b2b_x,,
home_b2b_y,0.0,2,0.21990670702716014,0.05553655753280194,kept,,home_b2b_y,,
home_days_into_season,0.0,103,31.118839765069488,0.0018858896285407433,kept,,home_days_into_season,,
home_days_into_season_spline,0.0,103,2.4410817496870396,0.000680519873477448,kept,,home_days_into_season_spline,,
home_ewm_goal_diff,0.0,755,1.0117043844952152,0.021620912688016688,kept,,home_ewm_goal_diff,,
home_ewm_goals_against,0.0,749,0.6949415550018846,0.008549653041157746,kept,,home_ewm_goals_against,,
home_ewm_goals_for,0.0,747,0.6562963348449845,0.024257757188947043,kept,,home_ewm_goals_for,,
home_ewm_shots_against,0.0,749,4.190709400846291,0.006936889825598366,kept,,home_ewm_shots_against,,
home_ewm_team_save_pct_proxy,0.0,751,0.010831374128641266,0.0021791899364589497,kept,,home_ewm_team_save_pct_proxy,,
home_games_played_prior,0.0,51,14.199667839681043,7.091091592596982e-06,kept,,home_games_played_prior,,
home_goalie_quality_ewm,0.0,751,0.012273757206535545,0.007700813794652431,kept,,home_goalie_quality_ewm,,
home_local_start_mismatch,0.0,2,0.43134517922131704,0.07193569033490237,kept,,home_local_start_mismatch,,
home_post_trade_deadline,0.0,2,0.24420750971567914,0.021014916009506654,kept,,home_post_trade_deadline,,
home_pp_eff,0.0,5,0.042479688803648816,0.0691832328124018,kept,,home_pp_eff,,
home_pp_eff_ewm,0.0,18,0.007461306188072759,0.00696843600077724,kept,,home_pp_eff_ewm,,
home_r14_goal_diff,0.0,145,0.8695766130926509,0.04600897446156073,kept,,home_r14_goal_diff,,
home_r14_goals_against,0.0,111,0.5991293271800349,0.024704974300216613,kept,,home_r14_goals_against,,
home_r14_goals_for,0.0,107,0.5598353304114786,0.04475361849913477,kept,,home_r14_goals_for,,
home_r14_shots_against,0.0,111,3.606315457501029,0.02344424376203194,kept,,home_r14_shots_against,,
home_r14_shots_for,0.0,107,3.367876084495435,0.045991550619450206,kept,,home_r14_shots_for,,
home_r14_team_save_pct_proxy,0.0,691,0.00933997201564495,0.02592387894393217,kept,,home_r14_team_save_pct_proxy,,
home_r5_goal_diff,0.0,57,1.2083811951370897,0.05329569460509369,kept,,home_r5_goal_diff,,
home_r5_goals_against,0.0,39,0.8383599533817891,0.03755867739617035,kept,,home_r5_goals_against,,
home_r5_goals_for,0.0,42,0.7869362581625986,0.041825273356293415,kept,,home_r5_goals_for,,
home_r5_shots_against,0.0,39,5.061103739873677,0.03581341918591916,kept,,home_r5_shots_against,,
home_r5_shots_for,0.0,42,4.73625693536568,0.04277571051823186,kept,,home_r5_shots_for,,
home_r5_team_save_pct_proxy,0.0,374,0.012737449618978349,0.023505494698118322,kept,,home_r5_team_save_pct_proxy,,
home_rest_days_x,0.0,120,1.181052296033836,0.04459051986039224,kept,,home_rest_days_x,,
home_rest_days_y,0.0,198,3.424448153599998,0.01514995425877679,kept,,home_rest_days_y,,
home_roster_strength_index,0.0,32,0.14110682487504264,0.11864219361475897,kept,,home_roster_strength_index,,
home_season_phase_early,0.0,2,0.4904111163142454,0.029950207713431858,kept,,home_season_phase_early,,
home_starter_goalie_id,0.0,13,313.0974856538124,0.06402437004661359,kept,,home_starter_goalie_id,,
home_starter_unknown,0.0,2,0.12761762839610896,0.06480034474158378,kept,,home_starter_unknown,,
home_win_rate_ewm,0.0,690,0.20107435857179928,0.030900632886266263,kept,,home_win_rate_ewm,,
home_xg_for_ewm,0.0,747,0.3953615241855471,0.025594541450273053,kept,,home_xg_for_ewm,,
home_xg_share_ewm,0.0,766,0.03603174011320242,0.019836186247925935,kept,,home_xg_share_ewm,,
rest_diff,0.0,413,4.6510632135884595,0.003759429054684754,kept,,rest_diff,,
rink_goal_effect,0.0,39,0.3115892083703633,0.19184499064493057,kept,,rink_goal_effect,,
rink_shot_effect,0.0,40,1.8637911967562073,0.19780698725190193,kept,,rink_shot_effect,,
special_pk_pressure_diff,0.0,3,0.057062385743758055,0.05225433708560061,kept,,special_pk_pressure_diff,,
special_pp_diff,0.0,21,0.007661471371623565,0.048764907620319015,kept,,special_pp_diff,,
